,epoch_3
adjunct_island,0.418
adv_order,0.465
anaphor_gender_agreement,0.497
anaphor_number_agreement,0.473
center_embedding_double_1,0.298
center_embedding_double_2,0.808
center_embedding_single_1,0.166
center_embedding_single_2,0.833
complex_np_island,0.491
coordinate_structure_constrain_object_extraction,0.367
determiner_noun_agreement_1,0.466
determiner_noun_agreement_2,0.518
determiner_noun_agreement_adj_1,0.505
determiner_noun_agreement_adj_2,0.506
ellipsis,0.626
green_ideas,0.402
intransitive,0.544
left_branch_island_simple_question,0.636
matrix_question_npi_licensor_present,0.658
npi_present,0.357
only_npi_licensor_present,0.984
only_npi_scope,0.676
pp_order,0.524
principle_A_c_command,0.489
principle_A_domain_1,0.84
principle_A_domain_2,0.507
principle_A_domain_3,0.474
recursion_intensifier_adj_long,0.801
recursion_intensifier_adj_medium,0.913
recursion_intensifier_adj_short,0.997
recursion_intensifier_adv_long,0.196
recursion_intensifier_adv_medium,0.075
recursion_intensifier_adv_short,0.005
recursion_poss_ditransitive_long,0.579
recursion_poss_ditransitive_medium,0.563
recursion_poss_ditransitive_short,0.493
recursion_poss_transitive_long,0.551
recursion_poss_transitive_medium,0.612
recursion_poss_transitive_short,0.707
recursion_pp_is_long,0.611
recursion_pp_is_medium,0.472
recursion_pp_is_short,0.254
recursion_pp_verb_long,0.002
recursion_pp_verb_medium,0.01
recursion_pp_verb_short,0.11
sentential_negation_npi_licensor_present,0.024
sentential_negation_npi_scope,0.69
subj_aux_agreement_question_vary_aux,0.57
subj_aux_agreement_question_vary_subj,0.479
subj_aux_vary_subj,0.536
subj_aux_vary_verb,0.48
subj_aux_vary_verb_pp,0.525
subj_aux_vary_verb_rc,0.516
subj_verb_vary_verb,0.534
svo_vos,0.297
swapped_ditransitive_1,0.405
swapped_ditransitive_2,0.375
transitive,0.534
wh_island,0.535
wh_questions_object_gap,0.53
wh_questions_object_gap_long_distance,0.494
wh_questions_subject_gap,0.485
wh_questions_subject_gap_long_distance,0.446
wh_vs_that_no_gap,0.906
wh_vs_that_no_gap_long_distance,0.741
wh_vs_that_with_gap,0.215
wh_vs_that_with_gap_long_distance,0.42
