,epoch_4
adjunct_island_implausible,0.465
adv_order_implausible,0.662
anaphor_gender_agreement_implausible,0.513
anaphor_number_agreement_implausible,0.512
center_embedding_double_1_implausible,0.367
center_embedding_double_2_implausible,0.904
center_embedding_single_1_implausible,0.269
center_embedding_single_2_implausible,0.932
complex_np_island_implausible,0.573
coordinate_structure_constrain_object_extraction_implausible,0.251
determiner_noun_agreement_1_implausible,0.544
determiner_noun_agreement_2_implausible,0.58
determiner_noun_agreement_adj_1_implausible,0.475
determiner_noun_agreement_adj_2_implausible,0.608
ellipsis_implausible,0.186
green_ideas_implausible,0.408
intransitive_implausible,0.442
left_branch_island_simple_question_implausible,0.425
matrix_question_npi_licensor_present_implausible,0.712
npi_present_implausible,0.13
only_npi_licensor_present_implausible,1.0
only_npi_scope_implausible,0.998
pp_order_implausible,0.526
principle_A_c_command_implausible,0.511
principle_A_domain_1_implausible,0.955
principle_A_domain_2_implausible,0.474
principle_A_domain_3_implausible,0.485
recursion_intensifier_adj_long_implausible,1.0
recursion_intensifier_adj_medium_implausible,1.0
recursion_intensifier_adj_short_implausible,1.0
recursion_intensifier_adv_long_implausible,0.0
recursion_intensifier_adv_medium_implausible,0.0
recursion_intensifier_adv_short_implausible,0.0
recursion_poss_ditransitive_long_implausible,0.5
recursion_poss_ditransitive_medium_implausible,0.544
recursion_poss_ditransitive_short_implausible,0.551
recursion_poss_transitive_long_implausible,0.204
recursion_poss_transitive_medium_implausible,0.323
recursion_poss_transitive_short_implausible,0.708
recursion_pp_is_long_implausible,0.625
recursion_pp_is_medium_implausible,0.401
recursion_pp_is_short_implausible,0.251
recursion_pp_verb_long_implausible,0.0
recursion_pp_verb_medium_implausible,0.108
recursion_pp_verb_short_implausible,0.799
sentential_negation_npi_licensor_present_implausible,0.7
sentential_negation_npi_scope_implausible,0.189
subj_aux_agreement_question_vary_aux_implausible,0.468
subj_aux_agreement_question_vary_subj_implausible,0.485
subj_aux_vary_subj_implausible,0.509
subj_aux_vary_verb_implausible,0.452
subj_aux_vary_verb_pp_implausible,0.527
subj_aux_vary_verb_rc_implausible,0.51
subj_verb_vary_verb_implausible,0.419
svo_vos_implausible,0.228
swapped_ditransitive_1_implausible,0.974
swapped_ditransitive_2_implausible,0.784
transitive_implausible,0.754
wh_island_implausible,0.74
wh_questions_object_gap_implausible,0.319
wh_questions_object_gap_long_distance_implausible,0.25
wh_questions_subject_gap_implausible,0.645
wh_questions_subject_gap_long_distance_implausible,0.659
wh_vs_that_no_gap_implausible,0.999
wh_vs_that_no_gap_long_distance_implausible,0.974
wh_vs_that_with_gap_implausible,0.414
wh_vs_that_with_gap_long_distance_implausible,0.575
