,epoch_3
adjunct_island_implausible,0.695
adv_order_implausible,0.945
anaphor_gender_agreement_implausible,0.788
anaphor_number_agreement_implausible,0.806
center_embedding_double_1_implausible,0.338
center_embedding_double_2_implausible,0.907
center_embedding_single_1_implausible,0.428
center_embedding_single_2_implausible,0.915
complex_np_island_implausible,0.417
coordinate_structure_constrain_object_extraction_implausible,0.71
determiner_noun_agreement_1_implausible,0.958
determiner_noun_agreement_2_implausible,0.997
determiner_noun_agreement_adj_1_implausible,0.933
determiner_noun_agreement_adj_2_implausible,0.977
ellipsis_implausible,0.774
green_ideas_implausible,0.503
intransitive_implausible,0.696
left_branch_island_simple_question_implausible,0.71
matrix_question_npi_licensor_present_implausible,0.609
npi_present_implausible,0.471
only_npi_licensor_present_implausible,1.0
only_npi_scope_implausible,0.829
pp_order_implausible,0.866
principle_A_c_command_implausible,0.499
principle_A_domain_1_implausible,1.0
principle_A_domain_2_implausible,0.752
principle_A_domain_3_implausible,0.528
recursion_intensifier_adj_long_implausible,0.958
recursion_intensifier_adj_medium_implausible,1.0
recursion_intensifier_adj_short_implausible,1.0
recursion_intensifier_adv_long_implausible,0.177
recursion_intensifier_adv_medium_implausible,0.045
recursion_intensifier_adv_short_implausible,0.034
recursion_poss_ditransitive_long_implausible,0.39
recursion_poss_ditransitive_medium_implausible,0.414
recursion_poss_ditransitive_short_implausible,0.536
recursion_poss_transitive_long_implausible,1.0
recursion_poss_transitive_medium_implausible,0.995
recursion_poss_transitive_short_implausible,0.974
recursion_pp_is_long_implausible,0.531
recursion_pp_is_medium_implausible,0.692
recursion_pp_is_short_implausible,0.852
recursion_pp_verb_long_implausible,0.755
recursion_pp_verb_medium_implausible,0.803
recursion_pp_verb_short_implausible,0.86
sentential_negation_npi_licensor_present_implausible,1.0
sentential_negation_npi_scope_implausible,0.441
subj_aux_agreement_question_vary_aux_implausible,0.705
subj_aux_agreement_question_vary_subj_implausible,0.584
subj_aux_vary_subj_implausible,0.72
subj_aux_vary_verb_implausible,0.852
subj_aux_vary_verb_pp_implausible,0.273
subj_aux_vary_verb_rc_implausible,0.344
subj_verb_vary_verb_implausible,0.536
svo_vos_implausible,0.487
swapped_ditransitive_1_implausible,1.0
swapped_ditransitive_2_implausible,0.929
transitive_implausible,0.86
wh_island_implausible,0.874
wh_questions_object_gap_implausible,0.66
wh_questions_object_gap_long_distance_implausible,0.675
wh_questions_subject_gap_implausible,0.946
wh_questions_subject_gap_long_distance_implausible,0.958
wh_vs_that_no_gap_implausible,0.982
wh_vs_that_no_gap_long_distance_implausible,0.97
wh_vs_that_with_gap_implausible,0.459
wh_vs_that_with_gap_long_distance_implausible,0.182
