,epoch_5
adjunct_island,0.505
anaphor_gender_agreement,0.748
anaphor_number_agreement,0.899
animate_subject_passive,0.732
animate_subject_trans,0.618
causative,0.666
complex_NP_island,0.366
coordinate_structure_constraint_complex_left_branch,0.574
coordinate_structure_constraint_object_extraction,0.69
determiner_noun_agreement_1,0.72
determiner_noun_agreement_2,0.813
determiner_noun_agreement_irregular_1,0.652
determiner_noun_agreement_irregular_2,0.822
determiner_noun_agreement_with_adj_2,0.781
determiner_noun_agreement_with_adj_irregular_1,0.718
determiner_noun_agreement_with_adj_irregular_2,0.781
determiner_noun_agreement_with_adjective_1,0.668
distractor_agreement_relational_noun,0.469
distractor_agreement_relative_clause,0.433
drop_argument,0.36
ellipsis_n_bar_1,0.637
ellipsis_n_bar_2,0.664
existential_there_object_raising,0.58
existential_there_quantifiers_1,0.97
existential_there_quantifiers_2,0.747
existential_there_subject_raising,0.686
expletive_it_object_raising,0.683
inchoative,0.566
intransitive,0.425
irregular_past_participle_adjectives,0.75
irregular_past_participle_verbs,0.729
irregular_plural_subject_verb_agreement_1,0.666
irregular_plural_subject_verb_agreement_2,0.702
left_branch_island_echo_question,0.776
left_branch_island_simple_question,0.822
matrix_question_npi_licensor_present,0.26
npi_present_1,0.571
npi_present_2,0.573
only_npi_licensor_present,0.886
only_npi_scope,0.61
passive_1,0.524
passive_2,0.458
principle_A_c_command,0.548
principle_A_case_1,1.0
principle_A_case_2,0.728
principle_A_domain_1,0.995
principle_A_domain_2,0.684
principle_A_domain_3,0.549
principle_A_reconstruction,0.188
regular_plural_subject_verb_agreement_1,0.609
regular_plural_subject_verb_agreement_2,0.691
sentential_negation_npi_licensor_present,0.997
sentential_negation_npi_scope,0.499
sentential_subject_island,0.26
superlative_quantifiers_1,0.94
superlative_quantifiers_2,0.87
tough_vs_raising_1,0.349
tough_vs_raising_2,0.708
transitive,0.644
wh_island,0.45
wh_questions_object_gap,0.704
wh_questions_subject_gap,0.928
wh_questions_subject_gap_long_distance,0.938
wh_vs_that_no_gap,0.967
wh_vs_that_no_gap_long_distance,0.976
wh_vs_that_with_gap,0.082
wh_vs_that_with_gap_long_distance,0.032
