,epoch_4
agreement_determiner_noun-across_1_adjective,0.503
agreement_determiner_noun-between_neighbors,0.492
agreement_subject_verb-across_prepositional_phrase,0.4965
agreement_subject_verb-across_relative_clause,0.4945
agreement_subject_verb-in_question_with_aux,0.5005
agreement_subject_verb-in_simple_question,0.4945
anaphor_agreement-pronoun_gender,0.507
argument_structure-dropped_argument,0.767
argument_structure-swapped_arguments,0.993
argument_structure-transitive,0.5065
binding-principle_a,0.4545
case-subjective_pronoun,0.956
ellipsis-n_bar,0.312
filler-gap-wh_question_object,0.1805
filler-gap-wh_question_subject,0.9955
irregular-verb,0.46
island-effects-adjunct_island,0.873
island-effects-coordinate_structure_constraint,0.156
local_attractor-in_question_with_aux,0.819
npi_licensing-matrix_question,0.6345
npi_licensing-only_npi_licensor,0.9995
quantifiers-existential_there,0.7355
quantifiers-superlative,0.509
