,epoch_5
adjunct_island,0.56
adv_order,0.632
anaphor_gender_agreement,0.497
anaphor_number_agreement,0.472
center_embedding_double_1,0.382
center_embedding_double_2,0.927
center_embedding_single_1,0.241
center_embedding_single_2,0.96
complex_np_island,0.401
coordinate_structure_constrain_object_extraction,0.296
determiner_noun_agreement_1,0.469
determiner_noun_agreement_2,0.584
determiner_noun_agreement_adj_1,0.518
determiner_noun_agreement_adj_2,0.602
ellipsis,0.087
green_ideas,0.517
intransitive,0.45
left_branch_island_simple_question,0.489
matrix_question_npi_licensor_present,0.74
npi_present,0.474
only_npi_licensor_present,0.005
only_npi_scope,0.562
pp_order,0.467
principle_A_c_command,0.516
principle_A_domain_1,0.973
principle_A_domain_2,0.482
principle_A_domain_3,0.49
recursion_intensifier_adj_long,1.0
recursion_intensifier_adj_medium,1.0
recursion_intensifier_adj_short,1.0
recursion_intensifier_adv_long,0.0
recursion_intensifier_adv_medium,0.0
recursion_intensifier_adv_short,0.0
recursion_poss_ditransitive_long,0.554
recursion_poss_ditransitive_medium,0.584
recursion_poss_ditransitive_short,0.603
recursion_poss_transitive_long,0.8
recursion_poss_transitive_medium,0.821
recursion_poss_transitive_short,0.867
recursion_pp_is_long,0.489
recursion_pp_is_medium,0.455
recursion_pp_is_short,0.286
recursion_pp_verb_long,0.999
recursion_pp_verb_medium,0.998
recursion_pp_verb_short,0.999
sentential_negation_npi_licensor_present,0.786
sentential_negation_npi_scope,0.356
subj_aux_agreement_question_vary_aux,0.602
subj_aux_agreement_question_vary_subj,0.499
subj_aux_vary_subj,0.536
subj_aux_vary_verb,0.458
subj_aux_vary_verb_pp,0.508
subj_aux_vary_verb_rc,0.515
subj_verb_vary_verb,0.39
svo_vos,0.307
swapped_ditransitive_1,0.796
swapped_ditransitive_2,0.617
transitive,0.719
wh_island,0.648
wh_questions_object_gap,0.588
wh_questions_object_gap_long_distance,0.561
wh_questions_subject_gap,0.667
wh_questions_subject_gap_long_distance,0.632
wh_vs_that_no_gap,0.999
wh_vs_that_no_gap_long_distance,0.999
wh_vs_that_with_gap,0.0
wh_vs_that_with_gap_long_distance,0.0
