,epoch_2
agreement_determiner_noun-across_1_adjective,0.488
agreement_determiner_noun-between_neighbors,0.4955
agreement_subject_verb-across_prepositional_phrase,0.494
agreement_subject_verb-across_relative_clause,0.4945
agreement_subject_verb-in_question_with_aux,0.502
agreement_subject_verb-in_simple_question,0.502
anaphor_agreement-pronoun_gender,0.552
argument_structure-dropped_argument,0.801
argument_structure-swapped_arguments,1.0
argument_structure-transitive,0.519
binding-principle_a,0.4395
case-subjective_pronoun,1.0
ellipsis-n_bar,0.2875
filler-gap-wh_question_object,0.736
filler-gap-wh_question_subject,0.9995
irregular-verb,0.5055
island-effects-adjunct_island,0.7485
island-effects-coordinate_structure_constraint,0.515
local_attractor-in_question_with_aux,0.7305
npi_licensing-matrix_question,0.5335
npi_licensing-only_npi_licensor,0.104
quantifiers-existential_there,0.684
quantifiers-superlative,0.4265
