,epoch_1
adjunct_island,0.437
anaphor_gender_agreement,0.789
anaphor_number_agreement,0.623
animate_subject_passive,0.526
animate_subject_trans,0.595
causative,0.477
complex_NP_island,0.283
coordinate_structure_constraint_complex_left_branch,0.749
coordinate_structure_constraint_object_extraction,0.272
determiner_noun_agreement_1,0.515
determiner_noun_agreement_2,0.499
determiner_noun_agreement_irregular_1,0.528
determiner_noun_agreement_irregular_2,0.524
determiner_noun_agreement_with_adj_2,0.496
determiner_noun_agreement_with_adj_irregular_1,0.534
determiner_noun_agreement_with_adj_irregular_2,0.526
determiner_noun_agreement_with_adjective_1,0.503
distractor_agreement_relational_noun,0.489
distractor_agreement_relative_clause,0.525
drop_argument,0.481
ellipsis_n_bar_1,0.393
ellipsis_n_bar_2,0.474
existential_there_object_raising,0.411
existential_there_quantifiers_1,0.616
existential_there_quantifiers_2,0.351
existential_there_subject_raising,0.469
expletive_it_object_raising,0.42
inchoative,0.526
intransitive,0.559
irregular_past_participle_adjectives,0.344
irregular_past_participle_verbs,0.471
irregular_plural_subject_verb_agreement_1,0.494
irregular_plural_subject_verb_agreement_2,0.512
left_branch_island_echo_question,0.727
left_branch_island_simple_question,0.74
matrix_question_npi_licensor_present,0.481
npi_present_1,0.025
npi_present_2,0.026
only_npi_licensor_present,0.0
only_npi_scope,0.155
passive_1,0.453
passive_2,0.453
principle_A_c_command,0.5
principle_A_case_1,0.444
principle_A_case_2,0.438
principle_A_domain_1,0.642
principle_A_domain_2,0.412
principle_A_domain_3,0.506
principle_A_reconstruction,0.526
regular_plural_subject_verb_agreement_1,0.602
regular_plural_subject_verb_agreement_2,0.503
sentential_negation_npi_licensor_present,0.296
sentential_negation_npi_scope,0.905
sentential_subject_island,0.463
superlative_quantifiers_1,0.541
superlative_quantifiers_2,0.238
tough_vs_raising_1,0.44
tough_vs_raising_2,0.542
transitive,0.476
wh_island,0.681
wh_questions_object_gap,0.347
wh_questions_subject_gap,0.708
wh_questions_subject_gap_long_distance,0.602
wh_vs_that_no_gap,0.508
wh_vs_that_no_gap_long_distance,0.525
wh_vs_that_with_gap,0.438
wh_vs_that_with_gap_long_distance,0.446
