,epoch_1
adjunct_island,0.529
anaphor_gender_agreement,0.329
anaphor_number_agreement,0.442
animate_subject_passive,0.52
animate_subject_trans,0.518
causative,0.447
complex_NP_island,0.563
coordinate_structure_constraint_complex_left_branch,0.432
coordinate_structure_constraint_object_extraction,0.568
determiner_noun_agreement_1,0.486
determiner_noun_agreement_2,0.53
determiner_noun_agreement_irregular_1,0.49
determiner_noun_agreement_irregular_2,0.481
determiner_noun_agreement_with_adj_2,0.511
determiner_noun_agreement_with_adj_irregular_1,0.551
determiner_noun_agreement_with_adj_irregular_2,0.494
determiner_noun_agreement_with_adjective_1,0.513
distractor_agreement_relational_noun,0.48
distractor_agreement_relative_clause,0.531
drop_argument,0.541
ellipsis_n_bar_1,0.232
ellipsis_n_bar_2,0.488
existential_there_object_raising,0.599
existential_there_quantifiers_1,0.905
existential_there_quantifiers_2,0.573
existential_there_subject_raising,0.531
expletive_it_object_raising,0.549
inchoative,0.42
intransitive,0.471
irregular_past_participle_adjectives,0.811
irregular_past_participle_verbs,0.396
irregular_plural_subject_verb_agreement_1,0.512
irregular_plural_subject_verb_agreement_2,0.521
left_branch_island_echo_question,0.467
left_branch_island_simple_question,0.499
matrix_question_npi_licensor_present,0.136
npi_present_1,0.122
npi_present_2,0.197
only_npi_licensor_present,0.81
only_npi_scope,0.774
passive_1,0.634
passive_2,0.571
principle_A_c_command,0.562
principle_A_case_1,0.94
principle_A_case_2,0.477
principle_A_domain_1,0.571
principle_A_domain_2,0.542
principle_A_domain_3,0.484
principle_A_reconstruction,0.426
regular_plural_subject_verb_agreement_1,0.43
regular_plural_subject_verb_agreement_2,0.491
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.302
sentential_subject_island,0.454
superlative_quantifiers_1,0.557
superlative_quantifiers_2,0.279
tough_vs_raising_1,0.507
tough_vs_raising_2,0.54
transitive,0.586
wh_island,0.328
wh_questions_object_gap,0.923
wh_questions_subject_gap,0.978
wh_questions_subject_gap_long_distance,0.955
wh_vs_that_no_gap,0.997
wh_vs_that_no_gap_long_distance,0.996
wh_vs_that_with_gap,0.007
wh_vs_that_with_gap_long_distance,0.006
