,epoch_5
adjunct_island,0.504
anaphor_gender_agreement,0.775
anaphor_number_agreement,0.637
animate_subject_passive,0.538
animate_subject_trans,0.43
causative,0.452
complex_NP_island,0.477
coordinate_structure_constraint_complex_left_branch,0.364
coordinate_structure_constraint_object_extraction,0.477
determiner_noun_agreement_1,0.535
determiner_noun_agreement_2,0.489
determiner_noun_agreement_irregular_1,0.489
determiner_noun_agreement_irregular_2,0.531
determiner_noun_agreement_with_adj_2,0.472
determiner_noun_agreement_with_adj_irregular_1,0.535
determiner_noun_agreement_with_adj_irregular_2,0.538
determiner_noun_agreement_with_adjective_1,0.479
distractor_agreement_relational_noun,0.467
distractor_agreement_relative_clause,0.525
drop_argument,0.578
ellipsis_n_bar_1,0.153
ellipsis_n_bar_2,0.359
existential_there_object_raising,0.688
existential_there_quantifiers_1,0.794
existential_there_quantifiers_2,0.668
existential_there_subject_raising,0.583
expletive_it_object_raising,0.663
inchoative,0.357
intransitive,0.435
irregular_past_participle_adjectives,0.44
irregular_past_participle_verbs,0.727
irregular_plural_subject_verb_agreement_1,0.531
irregular_plural_subject_verb_agreement_2,0.512
left_branch_island_echo_question,0.655
left_branch_island_simple_question,0.427
matrix_question_npi_licensor_present,0.101
npi_present_1,0.336
npi_present_2,0.292
only_npi_licensor_present,0.315
only_npi_scope,0.472
passive_1,0.6
passive_2,0.591
principle_A_c_command,0.379
principle_A_case_1,0.998
principle_A_case_2,0.408
principle_A_domain_1,0.98
principle_A_domain_2,0.438
principle_A_domain_3,0.52
principle_A_reconstruction,0.323
regular_plural_subject_verb_agreement_1,0.489
regular_plural_subject_verb_agreement_2,0.444
sentential_negation_npi_licensor_present,1.0
sentential_negation_npi_scope,0.823
sentential_subject_island,0.512
superlative_quantifiers_1,0.365
superlative_quantifiers_2,0.195
tough_vs_raising_1,0.46
tough_vs_raising_2,0.58
transitive,0.606
wh_island,0.898
wh_questions_object_gap,0.528
wh_questions_subject_gap,0.847
wh_questions_subject_gap_long_distance,0.749
wh_vs_that_no_gap,0.77
wh_vs_that_no_gap_long_distance,0.748
wh_vs_that_with_gap,0.239
wh_vs_that_with_gap_long_distance,0.283
